id,date,row,variable,measure
13251920,20160204,46,quiz_percentage_correct,1
10022216,20160204,47,quiz_percentage_correct,0.5
10020216,20160204,48,quiz_percentage_correct,0.75
10009216,20160204,49,quiz_percentage_correct,1
NA,20160204,50,quiz_percentage_correct,0
10015216,20160204,51,quiz_percentage_correct,1
10029216,20160204,52,quiz_percentage_correct,0.75
10010216,20160204,53,quiz_percentage_correct,1
10028216,20160204,54,quiz_percentage_correct,0.75
10018216,20160204,55,quiz_percentage_correct,0.75
10025216,20160204,56,quiz_percentage_correct,1
10005216,20160211,57,quiz_percentage_correct,0.666666667
10002216,20160211,58,quiz_percentage_correct,0.5
13251925,20160211,59,quiz_percentage_correct,0.5
10034216,20160211,60,quiz_percentage_correct,0.416666667
10008216,20160211,61,quiz_percentage_correct,0.5
10010216,20160211,62,quiz_percentage_correct,0.666666667
10021216,20160211,63,quiz_percentage_correct,0.5
10027216,20160211,64,quiz_percentage_correct,0.5
NA,20160211,65,quiz_percentage_correct,0.583333333
10009216,20160211,66,quiz_percentage_correct,0.666666667
10018216,20160211,67,quiz_percentage_correct,0.583333333
10017216,20160211,68,quiz_percentage_correct,0.666666667
10028216,20160211,69,quiz_percentage_correct,0.666666667
10007215,20160211,70,quiz_percentage_correct,0.833333333
10004216,20160211,71,quiz_percentage_correct,0.666666667
10013216,20160211,72,quiz_percentage_correct,0.5
10015216,20160211,73,quiz_percentage_correct,0.666666667
10020216,20160211,74,quiz_percentage_correct,0.833333333
10011216,20160211,75,quiz_percentage_correct,0.5
10018216,20160211,76,quiz_percentage_correct,0.833333333
10025216,20160211,77,quiz_percentage_correct,0.833333333
10023216,20160211,78,quiz_percentage_correct,0.833333333
10001036,20160211,79,quiz_percentage_correct,0.833333333
10029216,20160211,80,quiz_percentage_correct,0.583333333
10014216,20160211,81,quiz_percentage_correct,0.75
